Dept,Course Number,Section,Course Title,Instructor,Book Title,Book URL,Image URL,,
CPLT,7140,1,Broadway Musicals,Weltman,Adaptation and Appropriation,http://libezp.lib.lsu.edu/login?url=http://www.tandfebooks.com/isbn/9780203087633,http://www.syndetics.com/index.aspx?isbn=9780203087633/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
CSC,4101,1,Programming Languages,Baumgartner,Programming Language Pragmatics,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123745149,http://www.syndetics.com/index.aspx?isbn=9780123745149/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
EDCI,2001,1,"Education, Schooling, and Society",Hendry,"Charter Schools, Race, and Urban Space: Where the Market Meets Grassroots Resistance ",http://libezp.lib.lsu.edu/login?url=http://www.tandfebooks.com/isbn/9780203067000,http://www.syndetics.com/index.aspx?isbn=9780415660501/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
EE,2810,1,Tools in ECE,Scalzo,PSPICE and MATLAB for Electronics: An Integrated Approach,http://libezp.lib.lsu.edu/login?url=http://www.crcnetbase.com/isbn/9781420086591,http://www.syndetics.com/index.aspx?isbn=9781420086591/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
EE,7750,1,Machine Recognition of Patters,Soysal,Pattern Recognition,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9781597492720,http://www.syndetics.com/index.aspx?isbn=9781597492720/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
EE,7600,1,Advanced Digital Signal Processing and Modeling,Zhou,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",http://libezp.lib.lsu.edu/login?url=http://link.springer.com/book/10.1007/978-0-387-84858-7,http://www.syndetics.com/index.aspx?isbn=9780387848587/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ENGL,2027,3,Poetry,Wilky,"American Hybrid Poetics: Gender, Mass Culture, and Form",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780813564661/,http://www.syndetics.com/index.aspx?isbn=9780813564661/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ENGL,2423,1,Introduction to Folklore,Ware,Living Folklore: An Introduction to the Study of People and their Traditions,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780874218459/,http://www.syndetics.com/index.aspx?isbn=9780874218459/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ENGL,4062,1,Studies in the Victorian Age,Weltman,Adaptation and Appropriation,http://libezp.lib.lsu.edu/login?url=http://www.tandfebooks.com/isbn/9780203087633,http://www.syndetics.com/index.aspx?isbn=9780203087633/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ENGL,7962,1,Broadway Musicals,Weltman,Adaptation and Appropriation,http://libezp.lib.lsu.edu/login?url=http://www.tandfebooks.com/isbn/9780203087633,http://www.syndetics.com/index.aspx?isbn=9780203087633/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
EXST,7003,"1,2",Statistical Inference I ,McCarter,Statistical Methods,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123749703,http://www.syndetics.com/index.aspx?isbn=9780123749703/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
